Post code;Gemeente naam;Provincie naam
3211;Binkom;Vlaams-Brabant
1910;Kampenhout;Vlaams-Brabant
9120;Beveren;Oost-Vlaanderen
9520;Sint-Lievens-Houtem;Oost-Vlaanderen
9667;Sint-Kornelis-Horebeke;Oost-Vlaanderen
4452;Wihogne;Liège
4101;Jemeppe;Liège
4210;Lamontzée;Liège
4802;Heusy;Liège
4900;Spa;Liège
6470;Sautin;Henegouwen
7801;Irchonwelz;Henegouwen
7080;Eugies;Henegouwen
7811;Arbre;Henegouwen
6031;Monceau-sur-Sambre;Henegouwen
7640;Maubray;Henegouwen
7782;Ploegsteert;Henegouwen
7743;Obigies;Henegouwen
6591;Macon;Henegouwen
7180;Seneffe;Henegouwen
6182;Souvret;Henegouwen
7011;Ghlin;Henegouwen
7502;Esplechin;Henegouwen
6590;Momignies;Henegouwen
7062;Naast;Henegouwen
6223;Wagnelée;Henegouwen
1110;Brussel;Brussel
1005;Brussel;Brussel
1310;La Hulpe;Brabant wallon (le)
2980;Zoersel;Antwerpen
2960;Brecht;Antwerpen
2222;Itegem;Antwerpen
2580;Putte;Antwerpen
5520;Anthée;Namur
5070;Fosses-la-Ville;Namur
5336;Courrière;Namur
3670;Gruitrode;Limburg
3732;Schalkhoven;Limburg
3940;Hechtel;Limburg
3960;Bree;Limburg
8340;Moerkerke;West-Vlaanderen
8420;Wenduine;West-Vlaanderen
8511;Aalbeke;West-Vlaanderen
8573;Tiegem;West-Vlaanderen
8780;Oostrozebeke;West-Vlaanderen
6706;Autelbas;Luxembourg
6760;Èthe;Luxembourg
3391;Meensel-Kiezegem;Vlaams-Brabant
1980;Eppegem;Vlaams-Brabant
3071;Erps-Kwerps;Vlaams-Brabant
1741;Wambeek;Vlaams-Brabant
1982;Elewijt;Vlaams-Brabant
9620;Strijpen;Oost-Vlaanderen
9451;Kerksken;Oost-Vlaanderen
9000;Gent;Oost-Vlaanderen
4550;Yernée-Fraineux;Liège
4653;Bolland;Liège
4845;Sart;Liège
7340;Wasmes;Henegouwen
7900;Leuze;Henegouwen
7812;Villers-Saint-Amand;Henegouwen
7050;Jurbise;Henegouwen
7951;Tongre-Notre-Dame;Henegouwen
1012;Brussel;Brussel
1007;Brussel;Brussel
1140;Evere;Brussel
1360;Thorembais-Saint-Trond;Brabant wallon (le)
1430;Rebecq-Rognon;Brabant wallon (le)
1476;Houtain-le-Val;Brabant wallon (le)
1495;Marbais;Brabant wallon (le)
2430;Vorst;Antwerpen
2328;Meerle;Antwerpen
2820;Bonheiden;Antwerpen
2260;Tongerlo;Antwerpen
2811;Leest;Antwerpen
2110;Wijnegem;Antwerpen
5504;Foy-Notre-Dame;Namur
5574;Pondrôme;Namur
3630;Mechelen-aan-de-Maas;Limburg
3730;Hoeselt;Limburg
8020;Waardamme;West-Vlaanderen
8200;Sint-Andries;West-Vlaanderen
8380;Lissewege;West-Vlaanderen
8420;Klemskerke;West-Vlaanderen
8581;Kerkhove;West-Vlaanderen
6741;Vance;Luxembourg
6800;Bras;Luxembourg
6880;Bertrix;Luxembourg
6922;Halma;Luxembourg
6951;Bande;Luxembourg
6982;Samrée;Luxembourg
1733;Asse;Vlaams-Brabant
1853;Strombeek-Bever;Vlaams-Brabant
1930;Zaventem;Vlaams-Brabant
3051;Sint-Joris-Weert;Vlaams-Brabant
1740;Ternat;Vlaams-Brabant
3461;Molenbeek-Wersbeek;Vlaams-Brabant
4630;Évegnée-Tignée;Liège
7750;Anseroeul;Henegouwen
6140;Fontaine-l'Évêque;Henegouwen
7941;Attre;Henegouwen
7350;Montrœul-sur-Haine;Henegouwen
7170;Manage;Henegouwen
7780;Comines;Henegouwen
1041;Brussel;Brussel
1046;Evere;Brussel
1402;Thines;Brabant wallon (le)
2323;Wortel;Antwerpen
2400;Dessel;Antwerpen
5376;Miécret;Namur
5530;Durnal;Namur
5573;Martouzin-Neuville;Namur
5361;Scy;Namur
3600;Genk;Limburg
3700;Tongeren;Limburg
3990;Peer;Limburg
8000;Brugge;West-Vlaanderen
8400;Stene;West-Vlaanderen
8431;Wilskerke;West-Vlaanderen
8572;Kaster;West-Vlaanderen
8630;Bulskamp;West-Vlaanderen
8670;Oostduinkerke;West-Vlaanderen
6671;Bovigny;Luxembourg
6810;Izel;Luxembourg
6832;Sensenruth;Luxembourg
6952;Grune;Luxembourg
6953;Forrières;Luxembourg
1745;Opwijk;Vlaams-Brabant
3294;Molenstede;Vlaams-Brabant
1750;Sint-Martens-Lennik;Vlaams-Brabant
9472;Iddergem;Oost-Vlaanderen
9680;Etikhove;Oost-Vlaanderen
9450;Denderhoutem;Oost-Vlaanderen
9401;Pollare;Oost-Vlaanderen
9820;Merelbeke;Oost-Vlaanderen
4432;Alleur;Liège
4102;Ougrée;Liège
4160;Anthisnes;Liège
4960;Bevercé;Liège
7784;Warneton;Henegouwen
6240;Farciennes;Henegouwen
6041;Gosselies;Henegouwen
6674;Montleban;Luxembourg
6830;Rochehaut;Luxembourg
6941;Bomal;Luxembourg
3390;Tielt;Vlaams-Brabant
3202;Rillaar;Vlaams-Brabant
1600;Sint-Pieters-Leeuw;Vlaams-Brabant
3060;Bertem;Vlaams-Brabant
9099;Wondelgem;Oost-Vlaanderen
9220;Hamme;Oost-Vlaanderen
9772;Wannegem-Lede;Oost-Vlaanderen
9992;Middelburg;Oost-Vlaanderen
4263;Tourinne;Liège
4253;Darion;Liège
4850;Montzen;Liège
4983;Basse-Bodeux;Liège
4030;Grivegnée;Liège
4837;Membach;Liège
4190;Ferrières;Liège
4731;Eynatten;Liège
4950;Robertville;Liège
4684;Haccourt;Liège
4250;Geer;Liège
7540;Mourcourt;Henegouwen
7181;Feluy;Henegouwen
7760;Celles;Henegouwen
7530;Gaurain-Ramecroix;Henegouwen
7618;Taintignies;Henegouwen
7912;Saint-Sauveur;Henegouwen
6000;Charleroi;Henegouwen
7904;Leuze;Henegouwen
7380;Baisieux;Henegouwen
7070;Le Roeulx;Henegouwen
